crop,n_score,p_score,k_score,temperature_score,humidity_score,ph_score,rainfall_score,overall_weighted_score
apple,1,3,3,1,3,1,3,2.14
banana,3,3,3,2,2,1,2,2.29
blackgram,2,2,1,3,2,3,1,2.0
chickpea,2,3,3,1,1,3,2,2.14
coconut,2,1,2,2,3,1,3,2.0
coffee,3,1,2,2,1,3,3,2.14
cotton,3,2,1,2,2,3,2,2.14
grapes,2,3,3,2,2,1,1,2.0
jute,3,2,2,2,2,2,3,2.29
kidneybeans,1,3,1,1,1,1,2,1.43
lentil,1,3,1,2,1,3,1,1.71
maize,2,2,1,1,2,2,2,1.71
mango,1,1,2,3,1,1,2,1.57
mothbeans,2,2,2,3,1,3,1,2.0
mungbean,2,2,1,3,3,2,1,2.0
muskmelon,3,1,3,3,3,2,1,2.29
orange,1,1,1,1,3,3,2,1.71
papaya,2,2,3,3,3,2,3,2.57
pigeonpeas,1,3,2,3,1,1,3,2.0
pomegranate,1,1,2,1,3,2,2,1.71
rice,3,2,2,1,2,2,3,2.14
watermelon,3,1,3,2,2,2,1,2.0
