State	District	Year	GWL_mbgl
Telangana	KHAMMAM	2022	8.8
Telangana	KHAMMAM	2022	2.93
Telangana	KHAMMAM	2022	5.15
Telangana	KHAMMAM	2023	8.32
Telangana	KHAMMAM	2023	5.53
Telangana	NALGONDA	2023	7.71
Telangana	KHAMMAM	2021	4.55
Telangana	KHAMMAM	2021	2.95
Telangana	KHAMMAM	2021	3.48
Telangana	KHAMMAM	2022	4.68
Telangana	KHAMMAM	2022	7.51
Telangana	KHAMMAM	2022	0.77
Telangana	KHAMMAM	2022	3.2
Telangana	KHAMMAM	2023	5.43
Telangana	KHAMMAM	2023	0.68
Telangana	NALGONDA	2022	4.68
Telangana	NALGONDA	2022	4.28
Telangana	NALGONDA	2023	5.27
Telangana	NALGONDA	2023	5.83
Telangana	SIDDIPET	2023	20.22
Telangana	SIDDIPET	2023	26.21
Telangana	MEDAK	2021	19.68
Telangana	MEDAK	2022	27.25
Telangana	MEDAK	2022	20.2
Telangana	MEDAK	2022	17.77
Telangana	MEDAK	2023	26.21
Telangana	MEDAK	2023	23.56
Telangana	NAGARKURNOOL	2023	3.63
Telangana	NAGARKURNOOL	2023	8.47
Telangana	NAGARKURNOOL	2023	7.39
Telangana	MAHBUBNAGAR	2021	2.87
Telangana	MAHBUBNAGAR	2021	6.09
Telangana	MAHBUBNAGAR	2021	4.15
Telangana	MAHBUBNAGAR	2022	6.72
Telangana	MAHBUBNAGAR	2022	8.34
Telangana	MAHBUBNAGAR	2022	2.83
Telangana	MAHBUBNAGAR	2022	0.76
Telangana	MAHBUBNAGAR	2021	3.52
Telangana	MAHBUBNAGAR	2021	4.02
Telangana	MAHBUBNAGAR	2021	7.08
Telangana	MAHBUBNAGAR	2022	3.03
Telangana	MAHBUBNAGAR	2022	4.17
Telangana	MAHBUBNAGAR	2022	2.73
Telangana	MAHBUBNAGAR	2022	2.46
Telangana	MAHBUBNAGAR	2023	4.06
Telangana	NAGARKURNOOL	2023	4.06
Telangana	NAGARKURNOOL	2023	4.61
Telangana	NAGARKURNOOL	2023	5.17
Telangana	MAHBUBNAGAR	2021	0.32
Telangana	MAHBUBNAGAR	2021	1.69
Telangana	MAHBUBNAGAR	2022	1.1
Telangana	MAHBUBNAGAR	2022	2.8
Telangana	MAHBUBNAGAR	2022	-0.01
Telangana	MAHBUBNAGAR	2022	0.12
Telangana	MAHBUBNAGAR	2023	0.51
Telangana	NALGONDA	2021	36
Telangana	NALGONDA	2021	34.08
Telangana	NALGONDA	2022	7.75
Telangana	NALGONDA	2022	18.53
Telangana	NALGONDA	2022	22.98
Telangana	NALGONDA	2022	7.27
Telangana	NALGONDA	2023	3.6
Telangana	NALGONDA	2023	18.21
Telangana	NALGONDA	2023	44.45
Telangana	RANGA REDDY	2023	3.72
Telangana	RANGA REDDY	2023	7.88
Telangana	KHAMMAM	2021	7.4
Telangana	KHAMMAM	2021	5.06
Telangana	KHAMMAM	2021	5.4
Telangana	KHAMMAM	2022	7.45
Telangana	KHAMMAM	2022	8.62
Telangana	KHAMMAM	2022	1.36
Telangana	KHAMMAM	2022	6.4
Telangana	KHAMMAM	2023	8.13
Telangana	KHAMMAM	2023	9.5
Telangana	KHAMMAM	2023	4.82
Telangana	WARANGAL RURAL	2021	4.03
Telangana	WARANGAL RURAL	2021	1.85
Telangana	WARANGAL RURAL	2021	3.01
Telangana	WARANGAL RURAL	2022	5.53
Telangana	WARANGAL RURAL	2022	0.74
Telangana	WARANGAL RURAL	2022	1.84
Telangana	WARANGAL RURAL	2023	1.2
Telangana	WARANGAL RURAL	2023	1.54
Telangana	WARANGAL RURAL	2023	8.7
Telangana	MAHBUBNAGAR	2021	2.18
Telangana	MAHBUBNAGAR	2021	2.38
Telangana	MAHBUBNAGAR	2021	2.35
Telangana	MAHBUBNAGAR	2022	3.12
Telangana	MAHBUBNAGAR	2022	3.03
Telangana	MAHBUBNAGAR	2022	1.79
Telangana	MAHBUBNAGAR	2022	2.02
Telangana	MAHBUBNAGAR	2023	2.82
Telangana	MAHBUBNAGAR	2023	2.35
Telangana	MAHBUBNAGAR	2023	2.22
Telangana	JOGULAMBA(GADWAL)	2023	2.22
Telangana	JOGULAMBA(GADWAL)	2023	2.9
Telangana	MAHBUBNAGAR	2021	1.88
Telangana	MAHBUBNAGAR	2021	1.92
Telangana	MAHBUBNAGAR	2021	2.02
Telangana	MAHBUBNAGAR	2022	2.08
Telangana	MAHBUBNAGAR	2022	2.37
Telangana	MAHBUBNAGAR	2022	0.43
Telangana	MAHBUBNAGAR	2022	1.51
Telangana	MAHBUBNAGAR	2023	2.22
Telangana	MAHBUBNAGAR	2023	2.41
Telangana	JOGULAMBA(GADWAL)	2023	12.34
Telangana	JOGULAMBA(GADWAL)	2023	12.04
